building_name,building_address,building_description,building_units_available,apt_type,apt_rent,apt_footage
The Metropolitan,"200 Rhode Island Ave NE, Washington, DC","Located just minutes from the Rhode Island Avenue Metro Station. Art Deco-style 1- and 2-bedroom apartment homes featuring gourmet kitchens and private balconies or patios. Community amenities include a fitness center, courtyard and pet spa.",18 Units Available,1 Bedroom,"$1,775",607 sqft
The Metropolitan,"200 Rhode Island Ave NE, Washington, DC","Located just minutes from the Rhode Island Avenue Metro Station. Art Deco-style 1- and 2-bedroom apartment homes featuring gourmet kitchens and private balconies or patios. Community amenities include a fitness center, courtyard and pet spa.",18 Units Available,2 Bedrooms,"$2,255",906 sqft
2112 New Hampshire Avenue,"2112 New Hampshire Ave NW, Washington, DC","Beautifully appointed interior recently renovated with special details, such as dressing area, full bath, granite counters and hardwood floors. Marvelous views from the patio/balcony and apartment roof garden. Prime downtown location, pet-friendly.",16 Units Available,Studio,"$1,839",493 sqft
2112 New Hampshire Avenue,"2112 New Hampshire Ave NW, Washington, DC","Beautifully appointed interior recently renovated with special details, such as dressing area, full bath, granite counters and hardwood floors. Marvelous views from the patio/balcony and apartment roof garden. Prime downtown location, pet-friendly.",16 Units Available,1 Bedroom,"$2,410",652 sqft
Connecticut House,"4500 Connecticut Ave NW, Washington, DC","Connecticut House Apartments is in the desirable Van Ness/Forest Hills Neighborhood and is less than a five-minute walk from the Van Ness Metro Station, giving residents quick and convenient access to anywhere they need to go in the greater DC area.",7 Units Available,1 Bedroom,"$1,794",791 sqft
Connecticut House,"4500 Connecticut Ave NW, Washington, DC","Connecticut House Apartments is in the desirable Van Ness/Forest Hills Neighborhood and is less than a five-minute walk from the Van Ness Metro Station, giving residents quick and convenient access to anywhere they need to go in the greater DC area.",7 Units Available,2 Bedrooms,"$2,446",1179 sqft
Connecticut House,"4500 Connecticut Ave NW, Washington, DC","Connecticut House Apartments is in the desirable Van Ness/Forest Hills Neighborhood and is less than a five-minute walk from the Van Ness Metro Station, giving residents quick and convenient access to anywhere they need to go in the greater DC area.",7 Units Available,3 Bedrooms,Ask,NA
Circle Arms,"2416 K Street Northwest, Washington, DC","Presenting Circle Arms, an urban apartment community located in the middle of bustling Foggy Bottom.",8 Units Available,Studio,"$1,669",390 sqft
Circle Arms,"2416 K Street Northwest, Washington, DC","Presenting Circle Arms, an urban apartment community located in the middle of bustling Foggy Bottom.",8 Units Available,1 Bedroom,"$1,925",532 sqft
Circle Arms,"2416 K Street Northwest, Washington, DC","Presenting Circle Arms, an urban apartment community located in the middle of bustling Foggy Bottom.",8 Units Available,2 Bedrooms,Ask,NA
Brookland Press,"806 Channing Pl NE, Washington, DC","Uniquely designed apartment homes with studio, one- and two-bedroom models available. Thoughtful details including an on-site bike shop, dog park, and fitness studio. Conveniently located near Rhode Island Avenue.",38 Units Available,Studio,"$1,633",530 sqft
Brookland Press,"806 Channing Pl NE, Washington, DC","Uniquely designed apartment homes with studio, one- and two-bedroom models available. Thoughtful details including an on-site bike shop, dog park, and fitness studio. Conveniently located near Rhode Island Avenue.",38 Units Available,1 Bedroom,"$1,673",695 sqft
Brookland Press,"806 Channing Pl NE, Washington, DC","Uniquely designed apartment homes with studio, one- and two-bedroom models available. Thoughtful details including an on-site bike shop, dog park, and fitness studio. Conveniently located near Rhode Island Avenue.",38 Units Available,2 Bedrooms,"$2,197",920 sqft
The Hecht Warehouse at Ivy City,"1401 New York Ave NE, Washington, DC","Located within historic Ivy City building. Apartments feature industrial finishes and exposed brick. Community amenities include a pool, business center and billiards table. Right by the National Arboretum, with easy access to New York Avenue.",24 Units Available,Studio,"$1,471",489 sqft
The Hecht Warehouse at Ivy City,"1401 New York Ave NE, Washington, DC","Located within historic Ivy City building. Apartments feature industrial finishes and exposed brick. Community amenities include a pool, business center and billiards table. Right by the National Arboretum, with easy access to New York Avenue.",24 Units Available,1 Bedroom,"$1,705",665 sqft
The Hecht Warehouse at Ivy City,"1401 New York Ave NE, Washington, DC","Located within historic Ivy City building. Apartments feature industrial finishes and exposed brick. Community amenities include a pool, business center and billiards table. Right by the National Arboretum, with easy access to New York Avenue.",24 Units Available,2 Bedrooms,"$2,019",920 sqft
The Jamison,"3750 Jamison Street NE, Washington, DC",The amenities offered at The Jamison are designed to simplify your life. Squeeze in a workout before getting down to business at a co-working nook. Meet friends on the rooftop terrace after getting your shopping done at Costco.,10 Units Available,Studio,"$1,638",564 sqft
The Jamison,"3750 Jamison Street NE, Washington, DC",The amenities offered at The Jamison are designed to simplify your life. Squeeze in a workout before getting down to business at a co-working nook. Meet friends on the rooftop terrace after getting your shopping done at Costco.,10 Units Available,1 Bedroom,"$2,107",689 sqft
The Jamison,"3750 Jamison Street NE, Washington, DC",The amenities offered at The Jamison are designed to simplify your life. Squeeze in a workout before getting down to business at a co-working nook. Meet friends on the rooftop terrace after getting your shopping done at Costco.,10 Units Available,2 Bedrooms,"$2,675",1083 sqft
The Policy,"1921 Kalorama Rd NW, Washington, DC","Historic Kalorama Triangle neighborhood has easy access to Dupont Circle, Rock Creek and Potomac Parkway. Studio, one- and two-bedrooms with modern kitchens, granite counters, custom cabinetry, hardwood floors and in-unit laundry. Pet-friendly community.",5 Units Available,Studio,"$1,493",324 sqft
The Policy,"1921 Kalorama Rd NW, Washington, DC","Historic Kalorama Triangle neighborhood has easy access to Dupont Circle, Rock Creek and Potomac Parkway. Studio, one- and two-bedrooms with modern kitchens, granite counters, custom cabinetry, hardwood floors and in-unit laundry. Pet-friendly community.",5 Units Available,1 Bedroom,"$2,115",665 sqft
The Policy,"1921 Kalorama Rd NW, Washington, DC","Historic Kalorama Triangle neighborhood has easy access to Dupont Circle, Rock Creek and Potomac Parkway. Studio, one- and two-bedrooms with modern kitchens, granite counters, custom cabinetry, hardwood floors and in-unit laundry. Pet-friendly community.",5 Units Available,2 Bedrooms,"$2,874",1022 sqft
Willow & Maple,"6918 Willow St NW, Washington, DC",Cozy apartments with a patio/balcony and extra storage. Cats and dogs allowed. Parking available on site. Close to Rock Creek Park and near the Takoma Community Center.,5 Units Available,Studio,"$1,597",569 sqft
Willow & Maple,"6918 Willow St NW, Washington, DC",Cozy apartments with a patio/balcony and extra storage. Cats and dogs allowed. Parking available on site. Close to Rock Creek Park and near the Takoma Community Center.,5 Units Available,1 Bedroom,"$1,852",671 sqft
Willow & Maple,"6918 Willow St NW, Washington, DC",Cozy apartments with a patio/balcony and extra storage. Cats and dogs allowed. Parking available on site. Close to Rock Creek Park and near the Takoma Community Center.,5 Units Available,2 Bedrooms,"$3,334",964 sqft
The Elaine,"3210 Wisconsin Ave NW, Washington, DC","Within walking distance to area restaurants and the National Cathedral. Close to the Tenleytown Metro. Apartments include oversized windows with a view, hardwood flooring and open floor plans. Reserved parking provided. Controlled access.",9 Units Available,Studio,"$1,600",457 sqft
The Elaine,"3210 Wisconsin Ave NW, Washington, DC","Within walking distance to area restaurants and the National Cathedral. Close to the Tenleytown Metro. Apartments include oversized windows with a view, hardwood flooring and open floor plans. Reserved parking provided. Controlled access.",9 Units Available,1 Bedroom,"$2,200",777 sqft
The Elaine,"3210 Wisconsin Ave NW, Washington, DC","Within walking distance to area restaurants and the National Cathedral. Close to the Tenleytown Metro. Apartments include oversized windows with a view, hardwood flooring and open floor plans. Reserved parking provided. Controlled access.",9 Units Available,2 Bedrooms,"$3,075",1081 sqft
Gelmarc Towers,"1930 Columbia Rd NW, Washington, DC","In the heart of an urban area in a walkable community. Near the Woodley Park Metro. Homes are spacious, with oversized windows, parquet flooring and walk-in closets. On-site laundry, maintenance and covered parking.",17 Units Available,Studio,"$1,510",394 sqft
Gelmarc Towers,"1930 Columbia Rd NW, Washington, DC","In the heart of an urban area in a walkable community. Near the Woodley Park Metro. Homes are spacious, with oversized windows, parquet flooring and walk-in closets. On-site laundry, maintenance and covered parking.",17 Units Available,1 Bedroom,"$1,735",637 sqft
Gelmarc Towers,"1930 Columbia Rd NW, Washington, DC","In the heart of an urban area in a walkable community. Near the Woodley Park Metro. Homes are spacious, with oversized windows, parquet flooring and walk-in closets. On-site laundry, maintenance and covered parking.",17 Units Available,2 Bedrooms,Ask,NA
The Savoy,"1101 New Hampshire Ave NW, Washington, DC","Near Georgetown and Foggy Bottom. This high-rise community features a rooftop pool, fitness center, concierge service and emergency maintenance. Homes are spacious with a balcony and large windows with a view.",11 Units Available,Studio,"$1,795",514 sqft
The Savoy,"1101 New Hampshire Ave NW, Washington, DC","Near Georgetown and Foggy Bottom. This high-rise community features a rooftop pool, fitness center, concierge service and emergency maintenance. Homes are spacious with a balcony and large windows with a view.",11 Units Available,1 Bedroom,"$2,600",806 sqft
The Savoy,"1101 New Hampshire Ave NW, Washington, DC","Near Georgetown and Foggy Bottom. This high-rise community features a rooftop pool, fitness center, concierge service and emergency maintenance. Homes are spacious with a balcony and large windows with a view.",11 Units Available,2 Bedrooms,"$4,300",803 sqft
The Elise,"825 New Hampshire Ave NW, Washington, DC","Close to the Metro, shopping and George Washington Hospital. On-site covered garage, laundry facilities, pool and gym. Apartments are updated with spacious floor plans and lots of storage.",9 Units Available,Studio,"$1,700",481 sqft
The Elise,"825 New Hampshire Ave NW, Washington, DC","Close to the Metro, shopping and George Washington Hospital. On-site covered garage, laundry facilities, pool and gym. Apartments are updated with spacious floor plans and lots of storage.",9 Units Available,1 Bedroom,"$2,800",814 sqft
The Elise,"825 New Hampshire Ave NW, Washington, DC","Close to the Metro, shopping and George Washington Hospital. On-site covered garage, laundry facilities, pool and gym. Apartments are updated with spacious floor plans and lots of storage.",9 Units Available,2 Bedrooms,Ask,NA
Skyline Towers,"2730 Wisconsin Ave NW, Washington, DC",Just north of Georgetown. An easy-to-access location with oversized apartments in a walkable neighborhood. Buildings have secured entry access. On-site covered garage and laundry facilities. Spacious interiors with ample storage.,11 Units Available,Studio,Ask,NA
Skyline Towers,"2730 Wisconsin Ave NW, Washington, DC",Just north of Georgetown. An easy-to-access location with oversized apartments in a walkable neighborhood. Buildings have secured entry access. On-site covered garage and laundry facilities. Spacious interiors with ample storage.,11 Units Available,1 Bedroom,"$1,585",725 sqft
Skyline Towers,"2730 Wisconsin Ave NW, Washington, DC",Just north of Georgetown. An easy-to-access location with oversized apartments in a walkable neighborhood. Buildings have secured entry access. On-site covered garage and laundry facilities. Spacious interiors with ample storage.,11 Units Available,2 Bedrooms,"$2,600",977 sqft
The Aria on L,"300 L St NE, Washington, DC","Recent renovations give units stainless steel appliances, laundry facilities and hardwood floors. Residents have access to coffee bar, media room, garage and fitness center. Concierge services available.",6 Units Available,Studio,Ask,NA
The Aria on L,"300 L St NE, Washington, DC","Recent renovations give units stainless steel appliances, laundry facilities and hardwood floors. Residents have access to coffee bar, media room, garage and fitness center. Concierge services available.",6 Units Available,1 Bedroom,"$1,955",620 sqft
The Aria on L,"300 L St NE, Washington, DC","Recent renovations give units stainless steel appliances, laundry facilities and hardwood floors. Residents have access to coffee bar, media room, garage and fitness center. Concierge services available.",6 Units Available,2 Bedrooms,Ask,NA
Park Ellison,"1700 Harvard St NW, Washington, DC","Comfortable apartments with walk-in closets, separate dining rooms, hardwood floors and linen closets. Walk to Adams Morgan for dining and entertainment. All utilities included in the rent.",14 Units Available,Studio,"$1,500",415 sqft
Park Ellison,"1700 Harvard St NW, Washington, DC","Comfortable apartments with walk-in closets, separate dining rooms, hardwood floors and linen closets. Walk to Adams Morgan for dining and entertainment. All utilities included in the rent.",14 Units Available,1 Bedroom,"$1,650",672 sqft
Park Ellison,"1700 Harvard St NW, Washington, DC","Comfortable apartments with walk-in closets, separate dining rooms, hardwood floors and linen closets. Walk to Adams Morgan for dining and entertainment. All utilities included in the rent.",14 Units Available,2 Bedrooms,"$2,995",1190 sqft
Newport West Apartments,"1415 Rhode Island Ave NW, Washington, DC","Located near 14th St. in an active and vibrant location. These two-story apartments feature controlled access and a balcony. On-site amenities include a rooftop deck, pool, and laundry facilities.",11 Units Available,Studio,"$1,795",473 sqft
Newport West Apartments,"1415 Rhode Island Ave NW, Washington, DC","Located near 14th St. in an active and vibrant location. These two-story apartments feature controlled access and a balcony. On-site amenities include a rooftop deck, pool, and laundry facilities.",11 Units Available,1 Bedroom,"$1,895",670 sqft
Newport West Apartments,"1415 Rhode Island Ave NW, Washington, DC","Located near 14th St. in an active and vibrant location. These two-story apartments feature controlled access and a balcony. On-site amenities include a rooftop deck, pool, and laundry facilities.",11 Units Available,2 Bedrooms,Ask,NA
The Seville Apartments,"1401 N St NW, Washington, DC","Luxury apartments with a Spanish influence. Just a short distance from downtown in Logan Circle. Smoke-free units with intercoms, tubs/showers, stainless steel appliances and large bay windows.",13 Units Available,Studio,"$1,650",455 sqft
The Seville Apartments,"1401 N St NW, Washington, DC","Luxury apartments with a Spanish influence. Just a short distance from downtown in Logan Circle. Smoke-free units with intercoms, tubs/showers, stainless steel appliances and large bay windows.",13 Units Available,1 Bedroom,"$2,500",840 sqft
5100 Connecticut Avenue,"5100 Connecticut Avenue Northwest, Washington, DC",This controlled-access community is near Downtown D.C. It's on the bus line. Apartments offer large windows with beautiful views and hardwood floors. On-site laundry facilities and parking available.,8 Units Available,Studio,"$1,210",381 sqft
5100 Connecticut Avenue,"5100 Connecticut Avenue Northwest, Washington, DC",This controlled-access community is near Downtown D.C. It's on the bus line. Apartments offer large windows with beautiful views and hardwood floors. On-site laundry facilities and parking available.,8 Units Available,1 Bedroom,"$1,495",583 sqft
Alto Towers,"3206 Wisconsin Ave NW, Washington, DC","In a trendy, tree-lined community within walking distance of parks, shops and schools. Public transportation outside. On-site laundry. Homes are updated with a balcony or patio.",10 Units Available,Studio,"$1,495",405 sqft
Alto Towers,"3206 Wisconsin Ave NW, Washington, DC","In a trendy, tree-lined community within walking distance of parks, shops and schools. Public transportation outside. On-site laundry. Homes are updated with a balcony or patio.",10 Units Available,1 Bedroom,"$1,695",662 sqft
Alto Towers,"3206 Wisconsin Ave NW, Washington, DC","In a trendy, tree-lined community within walking distance of parks, shops and schools. Public transportation outside. On-site laundry. Homes are updated with a balcony or patio.",10 Units Available,2 Bedrooms,Ask,NA
Northwood Gardens,"4900-20 Fort Totten Dr NE, Washington, DC","Community features high speed internet and nearby street parking, and is just a short walk from the Fort Totten Metro Station. All utilities are included in rent and laundry facilities are on-site.",4 Units Available,1 Bedroom,"$1,625",651 sqft
Northwood Gardens,"4900-20 Fort Totten Dr NE, Washington, DC","Community features high speed internet and nearby street parking, and is just a short walk from the Fort Totten Metro Station. All utilities are included in rent and laundry facilities are on-site.",4 Units Available,2 Bedrooms,"$2,085",761 sqft
Macomb Gardens,"3725 Macomb St NW, Washington, DC","Located in a historic area with Art Deco styling. Walk to restaurants, taverns and shopping. Cable-ready units with hardwood floors, blinds, air conditioning, stainless steel appliances and granite countertops.",10 Units Available,Studio,"$1,395",452 sqft
Macomb Gardens,"3725 Macomb St NW, Washington, DC","Located in a historic area with Art Deco styling. Walk to restaurants, taverns and shopping. Cable-ready units with hardwood floors, blinds, air conditioning, stainless steel appliances and granite countertops.",10 Units Available,1 Bedroom,"$1,645",645 sqft
Macomb Gardens,"3725 Macomb St NW, Washington, DC","Located in a historic area with Art Deco styling. Walk to restaurants, taverns and shopping. Cable-ready units with hardwood floors, blinds, air conditioning, stainless steel appliances and granite countertops.",10 Units Available,2 Bedrooms,Ask,NA
2620 16th Street,"2620 16th Street Northwest, Washington, DC",This community is located in the heart of the city in a walkable neighborhood. Apartments feature oversized windows with a view and updates. Reserved parking provided. Controlled access building.,5 Units Available,Studio,"$1,350",389 sqft
2620 16th Street,"2620 16th Street Northwest, Washington, DC",This community is located in the heart of the city in a walkable neighborhood. Apartments feature oversized windows with a view and updates. Reserved parking provided. Controlled access building.,5 Units Available,1 Bedroom,Ask,NA
Dock 79,"79 Potomac Ave SE, Washington, DC","Enjoy breathtaking waterfront views from your apartment's patio. Dock79 is located near exciting nightlife and beautiful green spaces. Swimming pool, yoga and gym on site. Courtyard with grill.",17 Units Available,Studio,"$2,044",598 sqft
Dock 79,"79 Potomac Ave SE, Washington, DC","Enjoy breathtaking waterfront views from your apartment's patio. Dock79 is located near exciting nightlife and beautiful green spaces. Swimming pool, yoga and gym on site. Courtyard with grill.",17 Units Available,1 Bedroom,"$2,117",713 sqft
Dock 79,"79 Potomac Ave SE, Washington, DC","Enjoy breathtaking waterfront views from your apartment's patio. Dock79 is located near exciting nightlife and beautiful green spaces. Swimming pool, yoga and gym on site. Courtyard with grill.",17 Units Available,2 Bedrooms,"$3,091",1097 sqft
Elysium Fourteen,"1925 14th Street Northwest, Washington, DC","Located in the vibrant U Street corridor in Washington, D.C. you’ll find that Elysium Fourteen will make you feel like a true “District” resident the moment you move in.",7 Units Available,Studio,"$2,050",471 sqft
Elysium Fourteen,"1925 14th Street Northwest, Washington, DC","Located in the vibrant U Street corridor in Washington, D.C. you’ll find that Elysium Fourteen will make you feel like a true “District” resident the moment you move in.",7 Units Available,1 Bedroom,"$2,500",661 sqft
Elysium Fourteen,"1925 14th Street Northwest, Washington, DC","Located in the vibrant U Street corridor in Washington, D.C. you’ll find that Elysium Fourteen will make you feel like a true “District” resident the moment you move in.",7 Units Available,2 Bedrooms,"$3,950",1037 sqft
Slowe,"1919 3rd Street Northwest, Washington, DC","Meet Slowe...
The inviting, refreshing, elegant new apartment address in the heart of LeDroit Park.",16 Units Available,Studio,"$1,623",321 sqft
Slowe,"1919 3rd Street Northwest, Washington, DC","Meet Slowe...
The inviting, refreshing, elegant new apartment address in the heart of LeDroit Park.",16 Units Available,1 Bedroom,"$1,712",470 sqft
Slowe,"1919 3rd Street Northwest, Washington, DC","Meet Slowe...
The inviting, refreshing, elegant new apartment address in the heart of LeDroit Park.",16 Units Available,2 Bedrooms,"$2,706",754 sqft
Connecticut Plaza,"2901 Connecticut Ave NW, Washington, DC","This property features rooftop decks, on-site restaurant and a 24-hour fitness center. Apartments have built-in bookshelves, hardwood flooring and walk-in closets. Community is adjacent to the Smithsonian Zoological Park and near the Naval Observatory.",27 Units Available,Studio,"$1,550",323 sqft
Connecticut Plaza,"2901 Connecticut Ave NW, Washington, DC","This property features rooftop decks, on-site restaurant and a 24-hour fitness center. Apartments have built-in bookshelves, hardwood flooring and walk-in closets. Community is adjacent to the Smithsonian Zoological Park and near the Naval Observatory.",27 Units Available,1 Bedroom,"$1,820",565 sqft
Connecticut Plaza,"2901 Connecticut Ave NW, Washington, DC","This property features rooftop decks, on-site restaurant and a 24-hour fitness center. Apartments have built-in bookshelves, hardwood flooring and walk-in closets. Community is adjacent to the Smithsonian Zoological Park and near the Naval Observatory.",27 Units Available,2 Bedrooms,"$2,550",632 sqft
Carver,"211 Elm Street Northwest, Washington, DC","Carver Apartments is in the heart of tree-shaded, residential, sought-after Le Droit Park.  But with the powerful heartbeat of the nearby U Street Corridor, non-stop 14th Street and all the energy that embodies downtown Washington, DC.",16 Units Available,Studio,Ask,NA
Carver,"211 Elm Street Northwest, Washington, DC","Carver Apartments is in the heart of tree-shaded, residential, sought-after Le Droit Park.  But with the powerful heartbeat of the nearby U Street Corridor, non-stop 14th Street and all the energy that embodies downtown Washington, DC.",16 Units Available,1 Bedroom,"$1,767",486 sqft
Carver,"211 Elm Street Northwest, Washington, DC","Carver Apartments is in the heart of tree-shaded, residential, sought-after Le Droit Park.  But with the powerful heartbeat of the nearby U Street Corridor, non-stop 14th Street and all the energy that embodies downtown Washington, DC.",16 Units Available,2 Bedrooms,"$2,706",744 sqft
Quebec House,"2800 Quebec St NW, Washington, DC","Luxury living with stylish details such as bathtub, granite counters and modern renovations. Relax at the community coffee bar or hot tub, catch a film in the media room, exercise at the pool or gym.",18 Units Available,Studio,"$1,425",500 sqft
Quebec House,"2800 Quebec St NW, Washington, DC","Luxury living with stylish details such as bathtub, granite counters and modern renovations. Relax at the community coffee bar or hot tub, catch a film in the media room, exercise at the pool or gym.",18 Units Available,1 Bedroom,"$1,931",812 sqft
Quebec House,"2800 Quebec St NW, Washington, DC","Luxury living with stylish details such as bathtub, granite counters and modern renovations. Relax at the community coffee bar or hot tub, catch a film in the media room, exercise at the pool or gym.",18 Units Available,2 Bedrooms,"$3,104",967 sqft
Ellicott House Apartments,"4849 Connecticut Ave NW, Washington, DC","On Connecticut Ave NW near Forest Hills Park, these recently renovated units offer stainless steel appliances, hardwood floors, and a balcony. On-site enjoy 24-hr concierge, elevator, and parking garage, along with pool and gym",19 Units Available,Studio,"$1,304",574 sqft
Ellicott House Apartments,"4849 Connecticut Ave NW, Washington, DC","On Connecticut Ave NW near Forest Hills Park, these recently renovated units offer stainless steel appliances, hardwood floors, and a balcony. On-site enjoy 24-hr concierge, elevator, and parking garage, along with pool and gym",19 Units Available,1 Bedroom,"$1,592",665 sqft
Ellicott House Apartments,"4849 Connecticut Ave NW, Washington, DC","On Connecticut Ave NW near Forest Hills Park, these recently renovated units offer stainless steel appliances, hardwood floors, and a balcony. On-site enjoy 24-hr concierge, elevator, and parking garage, along with pool and gym",19 Units Available,2 Bedrooms,"$2,641",963 sqft
Flats at Atlas,"1600 Maryland Ave NE, Washington, DC","Ultra-modern apartments located in H Street NE, an entertainment hotspot. Floor plans feature nine-foot ceilings, hardwood floors and kitchens with granite countertops. Amenities include a 24-hour fitness center, multimedia lounge and courtyard.",33 Units Available,Studio,"$1,527",534 sqft
Flats at Atlas,"1600 Maryland Ave NE, Washington, DC","Ultra-modern apartments located in H Street NE, an entertainment hotspot. Floor plans feature nine-foot ceilings, hardwood floors and kitchens with granite countertops. Amenities include a 24-hour fitness center, multimedia lounge and courtyard.",33 Units Available,1 Bedroom,"$1,606",738 sqft
Flats at Atlas,"1600 Maryland Ave NE, Washington, DC","Ultra-modern apartments located in H Street NE, an entertainment hotspot. Floor plans feature nine-foot ceilings, hardwood floors and kitchens with granite countertops. Amenities include a 24-hour fitness center, multimedia lounge and courtyard.",33 Units Available,2 Bedrooms,"$2,225",936 sqft
The Barton at Woodley,"2701 Calvert St NW, Washington, DC","Conveniently situated within easy reach of the Woodley Park-Zoo Metro Station. Floor plans feature floor-to-ceiling windows and private balconies or patios. Residents enjoy access to a media room, BBQ grilling area and fitness center.",24 Units Available,Studio,"$1,960",580 sqft
The Barton at Woodley,"2701 Calvert St NW, Washington, DC","Conveniently situated within easy reach of the Woodley Park-Zoo Metro Station. Floor plans feature floor-to-ceiling windows and private balconies or patios. Residents enjoy access to a media room, BBQ grilling area and fitness center.",24 Units Available,1 Bedroom,"$2,106",804 sqft
The Barton at Woodley,"2701 Calvert St NW, Washington, DC","Conveniently situated within easy reach of the Woodley Park-Zoo Metro Station. Floor plans feature floor-to-ceiling windows and private balconies or patios. Residents enjoy access to a media room, BBQ grilling area and fitness center.",24 Units Available,2 Bedrooms,"$3,096",1138 sqft
Pleasant Hills Apartments,"4510 2nd St NE, Washington, DC","Live conveniently between Fort Totten and Brookland at Pleasant Hills Apartments in Northeast DC!   Pleasant Hills is perfectly situated next to the Brookland/CUA Metro Station and Catholic University and offers bright, spacious one- and two-bedroom ",2 Units Available,1 Bedroom,"$1,105",500 sqft
Pleasant Hills Apartments,"4510 2nd St NE, Washington, DC","Live conveniently between Fort Totten and Brookland at Pleasant Hills Apartments in Northeast DC!   Pleasant Hills is perfectly situated next to the Brookland/CUA Metro Station and Catholic University and offers bright, spacious one- and two-bedroom ",2 Units Available,2 Bedrooms,"$1,540",1000 sqft
AdMo Heights,"1777 Columbia Road Northwest, Washington, DC","This property is owned by Beztak, 2020 recipient of the US Best Managed Companies, sponsored by Deloitte Private and The Wall Street Journal.",18 Units Available,Studio,"$1,790",502 sqft
AdMo Heights,"1777 Columbia Road Northwest, Washington, DC","This property is owned by Beztak, 2020 recipient of the US Best Managed Companies, sponsored by Deloitte Private and The Wall Street Journal.",18 Units Available,1 Bedroom,"$2,250",635 sqft
The Belgard,"33 N St NE, Washington, DC","Air-conditioned units that feature electronic thermostats, ceiling fans, high ceilings, oversized closets, fully equipped kitchens and hardwood floors. Close to the Academy for Ideal Education.",48 Units Available,Studio,"$1,477",382 sqft
The Belgard,"33 N St NE, Washington, DC","Air-conditioned units that feature electronic thermostats, ceiling fans, high ceilings, oversized closets, fully equipped kitchens and hardwood floors. Close to the Academy for Ideal Education.",48 Units Available,1 Bedroom,"$1,850",692 sqft
The Belgard,"33 N St NE, Washington, DC","Air-conditioned units that feature electronic thermostats, ceiling fans, high ceilings, oversized closets, fully equipped kitchens and hardwood floors. Close to the Academy for Ideal Education.",48 Units Available,2 Bedrooms,"$2,421",988 sqft
Onyx on First,"1100 1st St SE, Washington, DC","Onyx on First featured distinguished stained concrete floors, granite counters, stainless steel appliances and washers and dryers in every unit. The building also offers a rooftop pool and underground parking.",28 Units Available,Studio,"$1,766",550 sqft
Onyx on First,"1100 1st St SE, Washington, DC","Onyx on First featured distinguished stained concrete floors, granite counters, stainless steel appliances and washers and dryers in every unit. The building also offers a rooftop pool and underground parking.",28 Units Available,1 Bedroom,"$1,974",653 sqft
Onyx on First,"1100 1st St SE, Washington, DC","Onyx on First featured distinguished stained concrete floors, granite counters, stainless steel appliances and washers and dryers in every unit. The building also offers a rooftop pool and underground parking.",28 Units Available,2 Bedrooms,"$2,516",859 sqft
The Vintage on 16th St DC,"3146 16th St NW, Washington, DC","Units have quartz countertops, custom kitchen cabinetry, and front load washer and dryer. Tenants have access to 24-hour fitness center, game room, and club room. Rooftop dog run, sunbathing deck, grill area, bike room.",12 Units Available,Studio,"$1,995",520 sqft
The Vintage on 16th St DC,"3146 16th St NW, Washington, DC","Units have quartz countertops, custom kitchen cabinetry, and front load washer and dryer. Tenants have access to 24-hour fitness center, game room, and club room. Rooftop dog run, sunbathing deck, grill area, bike room.",12 Units Available,1 Bedroom,"$1,995",685 sqft
The Vintage on 16th St DC,"3146 16th St NW, Washington, DC","Units have quartz countertops, custom kitchen cabinetry, and front load washer and dryer. Tenants have access to 24-hour fitness center, game room, and club room. Rooftop dog run, sunbathing deck, grill area, bike room.",12 Units Available,2 Bedrooms,"$2,906",785 sqft
Boathouse,"2601 Virginia Ave NW, Washington, DC","BOATHOUSE APARTMENTS
IN THE HEART OF WASHINGTON DC’S FOGGY BOTTOM

Meet Boathouse Apartments, DC’s most connected waterfront apartment building. Located in the Foggy Bottom neighborhood across Virginia Ave from the Watergate Hotel.",56 Units Available,Studio,"$1,805",384 sqft
Boathouse,"2601 Virginia Ave NW, Washington, DC","BOATHOUSE APARTMENTS
IN THE HEART OF WASHINGTON DC’S FOGGY BOTTOM

Meet Boathouse Apartments, DC’s most connected waterfront apartment building. Located in the Foggy Bottom neighborhood across Virginia Ave from the Watergate Hotel.",56 Units Available,1 Bedroom,"$2,811",518 sqft
Boathouse,"2601 Virginia Ave NW, Washington, DC","BOATHOUSE APARTMENTS
IN THE HEART OF WASHINGTON DC’S FOGGY BOTTOM

Meet Boathouse Apartments, DC’s most connected waterfront apartment building. Located in the Foggy Bottom neighborhood across Virginia Ave from the Watergate Hotel.",56 Units Available,2 Bedrooms,"$3,861",796 sqft
Legacy West End,"1225 22nd St NW, Washington, DC","Luxury apartments have high ceilings, modern, airy kitchens, private patio/balconies and spacious walk-in closets. Community features a fitness center, rooftop views, garage parking and a modern game room with billiards.",31 Units Available,Studio,"$1,784",401 sqft
Legacy West End,"1225 22nd St NW, Washington, DC","Luxury apartments have high ceilings, modern, airy kitchens, private patio/balconies and spacious walk-in closets. Community features a fitness center, rooftop views, garage parking and a modern game room with billiards.",31 Units Available,1 Bedroom,"$1,874",818 sqft
Legacy West End,"1225 22nd St NW, Washington, DC","Luxury apartments have high ceilings, modern, airy kitchens, private patio/balconies and spacious walk-in closets. Community features a fitness center, rooftop views, garage parking and a modern game room with billiards.",31 Units Available,2 Bedrooms,"$3,166",1076 sqft
